run_id,dataset,mode,num_paths,seed,epoch,step,train_loss,test_acc,elapsed_s,avg_step_ms,cumulative_param_updates
mnist_rw_sparse_np10_seed0_7e306bf3,mnist,rw_sparse,10,0,1,469,0.8967564477722274,0.8837,1.9452830840600654,1.691271401524766,5175699
mnist_rw_sparse_np10_seed0_7e306bf3,mnist,rw_sparse,10,0,2,938,0.38528109908993563,0.8949,5.052409875090234,1.6909844950953525,10335699
mnist_rw_sparse_np10_seed0_7e306bf3,mnist,rw_sparse,10,0,3,1407,0.3412327802321042,0.9154,8.172623709077016,1.6920279829637772,15509512
mnist_rw_sparse_np10_seed0_7e306bf3,mnist,rw_sparse,10,0,4,1876,0.3192485006633344,0.9073,11.268747875001281,1.6979032440849744,20683822
mnist_rw_sparse_np10_seed0_7e306bf3,mnist,rw_sparse,10,0,5,2345,0.30502992595182554,0.9219,14.436220375006087,1.8388796148440445,25846903
